tracks__items__track__album__external_urls__spotify,tracks__items__track__album__images__url,tracks__items__track__album__name,tracks__items__track__album__release_date,tracks__items__track__artists__name,tracks__items__track__external_urls__spotify,tracks__items__track__name
https://open.spotify.com/album/1SN6N3fNkZk5oXQ9X46QZ3,https://i.scdn.co/image/ab67616d0000b27360eec5a0953d4a33d77ed71d,Yummy,2020-01-03,Justin Bieber,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,Yummy
https://open.spotify.com/album/0ix3XtPV1LwmZADsprKxcp,https://i.scdn.co/image/ab67616d0000b2738583df1a14bea9175f9ac520,Don't Start Now,2019-10-31,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now
https://open.spotify.com/album/1MmVkhiwTH0BkNOU3nw5d3,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533,Hot Pink,2019-11-07,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,Say So
https://open.spotify.com/album/4qYPknuYBlnDaHsUchr7z3,https://i.scdn.co/image/ab67616d0000b27372fbd3c76ce00bbdbc37b8e2,Worry About Me (feat. blackbear),2020-03-13,Ellie Goulding,https://open.spotify.com/track/0wsfdPl7p3yKjQBmHQsaDn,Worry About Me (feat. blackbear)
https://open.spotify.com/album/3nR9B40hYLKLcR0Eph3Goc,https://i.scdn.co/image/ab67616d0000b273b8c0135a218de2d10a8435f5,Memories,2019-09-20,Maroon 5,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,Memories
https://open.spotify.com/album/2HDW1EX8IBI3jqobswAfrZ,https://i.scdn.co/image/ab67616d0000b273f80f544565b410d292349893,Stupid Love,2020-02-28,Lady Gaga,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb,Stupid Love
https://open.spotify.com/album/7Ho8gAx4haSxv1eFLQwvTj,https://i.scdn.co/image/ab67616d0000b27315174e2b2347b5ffbea6dbf0,LM5 (Deluxe),2018-11-16,Little Mix,https://open.spotify.com/track/7IOuCLt770D8v0u3SVaDeI,Wasabi
https://open.spotify.com/album/5Vzq1wKBUXMxEZl3NPjJpS,https://i.scdn.co/image/ab67616d0000b27313a6ef8345c14d2eeb2a37ef,Physical,2020-01-30,Dua Lipa,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V,Physical
https://open.spotify.com/album/61xfoPf6PkIv1sQRv559ma,https://i.scdn.co/image/ab67616d0000b27375abd42139a0a97907145712,I Love Me,2020-03-06,Demi Lovato,https://open.spotify.com/track/2Rb4Dey8TXM6A2R3QQaJPn,I Love Me
https://open.spotify.com/album/6HJDrXs0hpebaRFKA1sF90,https://i.scdn.co/image/ab67616d0000b273069a93617a916760ab88ffea,ROXANNE,2019-10-10,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,ROXANNE
