"collaborative","description","external_urls__spotify","followers__href","followers__total","href","id","images__height","images__url","images__width","name","owner__display_name","owner__external_urls__spotify","owner__href","owner__id","owner__type","owner__uri","primary_color","public","snapshot_id","tracks__href","tracks__items__added_at","tracks__items__added_by__external_urls__spotify","tracks__items__added_by__href","tracks__items__added_by__id","tracks__items__added_by__type","tracks__items__added_by__uri","tracks__items__is_local","tracks__items__primary_color","tracks__items__track__album__album_type","tracks__items__track__album__artists__external_urls__spotify","tracks__items__track__album__artists__href","tracks__items__track__album__artists__id","tracks__items__track__album__artists__name","tracks__items__track__album__artists__type","tracks__items__track__album__artists__uri","tracks__items__track__album__available_markets","tracks__items__track__album__external_urls__spotify","tracks__items__track__album__href","tracks__items__track__album__id","tracks__items__track__album__images__height","tracks__items__track__album__images__url","tracks__items__track__album__images__width","tracks__items__track__album__name","tracks__items__track__album__release_date","tracks__items__track__album__release_date_precision","tracks__items__track__album__total_tracks","tracks__items__track__album__type","tracks__items__track__album__uri","tracks__items__track__artists__external_urls__spotify","tracks__items__track__artists__href","tracks__items__track__artists__id","tracks__items__track__artists__name","tracks__items__track__artists__type","tracks__items__track__artists__uri","tracks__items__track__available_markets","tracks__items__track__disc_number","tracks__items__track__duration_ms","tracks__items__track__episode","tracks__items__track__explicit","tracks__items__track__external_ids__isrc","tracks__items__track__external_urls__spotify","tracks__items__track__href","tracks__items__track__id","tracks__items__track__is_local","tracks__items__track__name","tracks__items__track__popularity","tracks__items__track__preview_url","tracks__items__track__track","tracks__items__track__track_number","tracks__items__track__type","tracks__items__track__uri","tracks__items__video_thumbnail__url","tracks__limit","tracks__next","tracks__offset","tracks__previous","tracks__total","type","uri"
"False","In the next year, you will be able to find this playlist with the next title: TOP 10 Songs of the Week 2021 - Today&#x27;s 10 Music Hits 2021","https://open.spotify.com/playlist/4joqw3e0n9gDNVDhgKapCU","null","1863","https://api.spotify.com/v1/playlists/4joqw3e0n9gDNVDhgKapCU","4joqw3e0n9gDNVDhgKapCU","null","https://i.scdn.co/image/ab67706c0000da843ff4b4a9ec8e9144fb517ea9","null","TOP 10 Songs of the Week 2020 - Today's 10 Music Hits 2020","redmusiccompany","https://open.spotify.com/user/redmusiccompany","https://api.spotify.com/v1/users/redmusiccompany","redmusiccompany","user","spotify:user:redmusiccompany","null","True","MzI5NywyMDI5ZDdiMzAzZGI4ODIyNzkzZDdiMTM0YjQwNTcyMDlhZDVmODRi","https://api.spotify.com/v1/playlists/4joqw3e0n9gDNVDhgKapCU/tracks?offset=0&limit=100","2020-01-07T08:58:46Z","https://open.spotify.com/user/redmusiccompany","https://api.spotify.com/v1/users/redmusiccompany","redmusiccompany","user","spotify:user:redmusiccompany","False","null","single","https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s","https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s","1uNFoZAHBGtllmzznpCI3s","Justin Bieber","artist","spotify:artist:1uNFoZAHBGtllmzznpCI3s","AD","https://open.spotify.com/album/1SN6N3fNkZk5oXQ9X46QZ3","https://api.spotify.com/v1/albums/1SN6N3fNkZk5oXQ9X46QZ3","1SN6N3fNkZk5oXQ9X46QZ3","640","https://i.scdn.co/image/ab67616d0000b27360eec5a0953d4a33d77ed71d","640","Yummy","2020-01-03","day","1","album","spotify:album:1SN6N3fNkZk5oXQ9X46QZ3","https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s","https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s","1uNFoZAHBGtllmzznpCI3s","Justin Bieber","artist","spotify:artist:1uNFoZAHBGtllmzznpCI3s","AD","1","210426","False","False","USUM71923046","https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l","https://api.spotify.com/v1/tracks/41L3O37CECZt3N7ziG2z7l","41L3O37CECZt3N7ziG2z7l","False","Yummy","92","null","True","1","track","spotify:track:41L3O37CECZt3N7ziG2z7l","null","100","null","0","null","10","playlist","spotify:playlist:4joqw3e0n9gDNVDhgKapCU"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AE","","","","300","https://i.scdn.co/image/ab67616d00001e0260eec5a0953d4a33d77ed71d","300","","","","","","","","","","","","","AE","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR","","","","64","https://i.scdn.co/image/ab67616d0000485160eec5a0953d4a33d77ed71d","64","","","","","","","","","","","","","AR","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AT","","","","","","","","","","","","","","","","","","","AT","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AU","","","","","","","","","","","","","","","","","","","AU","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BE","","","","","","","","","","","","","","","","","","","BE","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BG","","","","","","","","","","","","","","","","","","","BG","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BH","","","","","","","","","","","","","","","","","","","BH","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BO","","","","","","","","","","","","","","","","","","","BO","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BR","","","","","","","","","","","","","","","","","","","BR","","","","","","","","","","","","","","","","","","","","","","","",""
